region,category,powertrain,year,unit,value,parameter_EV sales,parameter_EV sales share,parameter_EV stock,parameter_EV stock share,parameter_Electricity demand,parameter_Oil displacement Mbd,"parameter_Oil displacement, million lge",powertrain_BEV,powertrain_EV,powertrain_FCEV,powertrain_PHEV
Rest of the world,Projection-STEPS,BEV,2020,Vehicles,110000.0,True,False,False,False,False,False,False,True,False,False,False
Rest of the world,Projection-STEPS,BEV,2020,Vehicles,450000.0,False,False,True,False,False,False,False,True,False,False,False
Rest of the world,Projection-STEPS,FCEV,2020,Vehicles,5500.0,True,False,False,False,False,False,False,False,False,True,False
Rest of the world,Projection-STEPS,FCEV,2020,Vehicles,14000.0,False,False,True,False,False,False,False,False,False,True,False
Rest of the world,Projection-STEPS,PHEV,2020,Vehicles,330000.0,False,False,True,False,False,False,False,False,False,False,True
Rest of the world,Projection-STEPS,PHEV,2020,Vehicles,57000.0,True,False,False,False,False,False,False,False,False,False,True
Rest of the world,Projection-STEPS,PHEV,2021,Vehicles,110000.0,True,False,False,False,False,False,False,False,False,False,True
Rest of the world,Projection-STEPS,PHEV,2021,Vehicles,440000.0,False,False,True,False,False,False,False,False,False,False,True
Rest of the world,Projection-STEPS,FCEV,2021,Vehicles,26000.0,False,False,True,False,False,False,False,False,False,True,False
Rest of the world,Projection-STEPS,FCEV,2021,Vehicles,12000.0,True,False,False,False,False,False,False,False,False,True,False
Rest of the world,Projection-STEPS,BEV,2021,Vehicles,660000.0,False,False,True,False,False,False,False,True,False,False,False
Rest of the world,Projection-STEPS,BEV,2021,Vehicles,210000.0,True,False,False,False,False,False,False,True,False,False,False
Rest of the world,Projection-STEPS,EV,2021,percent,0.2599999904632568,False,False,False,True,False,False,False,False,True,False,False
Rest of the world,Projection-STEPS,EV,2021,percent,1.399999976158142,False,True,False,False,False,False,False,False,True,False,False
Rest of the world,Projection-STEPS,EV,2021,Milion barrels per day,0.0170000009238719,False,False,False,False,False,True,False,False,True,False,False
Rest of the world,Projection-STEPS,EV,2021,"Oil displacement, million lge",980.0,False,False,False,False,False,False,True,False,True,False,False
Rest of the world,Projection-STEPS,EV,2021,GWh,1900.0,False,False,False,False,True,False,False,False,True,False,False
Rest of the world,Projection-STEPS,EV,2022,GWh,2000.0,False,False,False,False,True,False,False,False,True,False,False
Rest of the world,Projection-STEPS,EV,2022,Milion barrels per day,0.0299999993294477,False,False,False,False,False,True,False,False,True,False,False
Rest of the world,Projection-STEPS,EV,2022,"Oil displacement, million lge",1700.0,False,False,False,False,False,False,True,False,True,False,False
